Sensor;Split;Accuracy;F1;Recall;Precision
2;1;0.9731543624161074;0.9731543624161074;0.9731543624161074;0.9731543624161074
2;2;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
2;3;1.0;1.0;1.0;1.0
2;4;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
2;5;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
2;6;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
2;7;1.0;1.0;1.0;1.0
2;8;0.9798657718120806;0.9798657718120806;0.9798657718120806;0.9798657718120806
2;9;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
2;10;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
4;1;1.0;1.0;1.0;1.0
4;2;1.0;1.0;1.0;1.0
4;3;1.0;1.0;1.0;1.0
4;4;1.0;1.0;1.0;1.0
4;5;1.0;1.0;1.0;1.0
4;6;1.0;1.0;1.0;1.0
4;7;1.0;1.0;1.0;1.0
4;8;1.0;1.0;1.0;1.0
4;9;1.0;1.0;1.0;1.0
4;10;1.0;1.0;1.0;1.0
54;1;1.0;1.0;1.0;1.0
54;2;1.0;1.0;1.0;1.0
54;3;1.0;1.0;1.0;1.0
54;4;1.0;1.0;1.0;1.0
54;5;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
54;6;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
54;7;1.0;1.0;1.0;1.0
54;8;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
54;9;1.0;1.0;1.0;1.0
54;10;1.0;1.0;1.0;1.0
56;1;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
56;2;1.0;1.0;1.0;1.0
56;3;1.0;1.0;1.0;1.0
56;4;1.0;1.0;1.0;1.0
56;5;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
56;6;0.9798657718120806;0.9798657718120806;0.9798657718120806;0.9798657718120806
56;7;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
56;8;0.9731543624161074;0.9731543624161074;0.9731543624161074;0.9731543624161074
56;9;0.9798657718120806;0.9798657718120806;0.9798657718120806;0.9798657718120806
56;10;1.0;1.0;1.0;1.0
63;1;1.0;1.0;1.0;1.0
63;2;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
63;3;1.0;1.0;1.0;1.0
63;4;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
63;5;1.0;1.0;1.0;1.0
63;6;1.0;1.0;1.0;1.0
63;7;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
63;8;1.0;1.0;1.0;1.0
63;9;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
63;10;1.0;1.0;1.0;1.0
74;1;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
74;2;0.9798657718120806;0.9798657718120806;0.9798657718120806;0.9798657718120806
74;3;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
74;4;0.9731543624161074;0.9731543624161074;0.9731543624161074;0.9731543624161074
74;5;0.9731543624161074;0.9731543624161074;0.9731543624161074;0.9731543624161074
74;6;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
74;7;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
74;8;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
74;9;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
74;10;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
78;1;1.0;1.0;1.0;1.0
78;2;1.0;1.0;1.0;1.0
78;3;1.0;1.0;1.0;1.0
78;4;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
78;5;1.0;1.0;1.0;1.0
78;6;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
78;7;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
78;8;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
78;9;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
78;10;1.0;1.0;1.0;1.0
79;1;1.0;1.0;1.0;1.0
79;2;1.0;1.0;1.0;1.0
79;3;1.0;1.0;1.0;1.0
79;4;1.0;1.0;1.0;1.0
79;5;1.0;1.0;1.0;1.0
79;6;1.0;1.0;1.0;1.0
79;8;1.0;1.0;1.0;1.0
79;9;1.0;1.0;1.0;1.0
79;10;1.0;1.0;1.0;1.0
7;1;0.9798657718120806;0.9798657718120806;0.9798657718120806;0.9798657718120806
7;2;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
7;3;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
7;4;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
7;5;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
7;6;0.9798657718120806;0.9798657718120806;0.9798657718120806;0.9798657718120806
7;7;0.9798657718120806;0.9798657718120806;0.9798657718120806;0.9798657718120806
7;8;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
7;9;0.9798657718120806;0.9798657718120806;0.9798657718120806;0.9798657718120806
7;10;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
10;1;0.9731543624161074;0.9731543624161074;0.9731543624161074;0.9731543624161074
10;2;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
10;3;1.0;1.0;1.0;1.0
10;4;0.9731543624161074;0.9731543624161074;0.9731543624161074;0.9731543624161074
10;5;0.9731543624161074;0.9731543624161074;0.9731543624161074;0.9731543624161074
10;6;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
10;7;1.0;1.0;1.0;1.0
10;8;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
10;9;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
10;10;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
11;1;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
11;2;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
11;3;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
11;4;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
11;5;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
11;6;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
11;7;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
11;8;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
11;9;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
11;10;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
12;1;1.0;1.0;1.0;1.0
12;2;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
12;3;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
12;4;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
12;5;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
12;6;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
12;7;1.0;1.0;1.0;1.0
12;8;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
12;9;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
12;10;1.0;1.0;1.0;1.0
14;1;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
14;2;1.0;1.0;1.0;1.0
14;3;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
14;4;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
14;5;1.0;1.0;1.0;1.0
14;6;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
14;7;1.0;1.0;1.0;1.0
14;8;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
14;9;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
14;10;1.0;1.0;1.0;1.0
19;1;0.9664429530201343;0.9664429530201343;0.9664429530201343;0.9664429530201343
19;2;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
19;3;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
19;4;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
19;5;0.9731543624161074;0.9731543624161074;0.9731543624161074;0.9731543624161074
19;6;0.9798657718120806;0.9798657718120806;0.9798657718120806;0.9798657718120806
19;7;1.0;1.0;1.0;1.0
19;8;1.0;1.0;1.0;1.0
19;9;1.0;1.0;1.0;1.0
19;10;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
21;1;1.0;1.0;1.0;1.0
21;2;1.0;1.0;1.0;1.0
21;3;1.0;1.0;1.0;1.0
21;4;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
21;5;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
21;6;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
21;7;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
21;8;0.9798657718120806;0.9798657718120806;0.9798657718120806;0.9798657718120806
21;9;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
21;10;1.0;1.0;1.0;1.0
23;1;0.9798657718120806;0.9798657718120806;0.9798657718120806;0.9798657718120806
23;2;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
23;3;1.0;1.0;1.0;1.0
23;4;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
23;5;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
23;6;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
23;7;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
23;8;0.9798657718120806;0.9798657718120806;0.9798657718120806;0.9798657718120806
23;9;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
23;10;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
24;1;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
24;2;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
24;3;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
24;4;0.9798657718120806;0.9798657718120806;0.9798657718120806;0.9798657718120806
24;5;0.9798657718120806;0.9798657718120806;0.9798657718120806;0.9798657718120806
24;6;0.959731543624161;0.959731543624161;0.959731543624161;0.959731543624161
24;7;0.9798657718120806;0.9798657718120806;0.9798657718120806;0.9798657718120806
24;8;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
24;9;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
24;10;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
25;1;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
25;2;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
25;3;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
25;4;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
25;5;0.9731543624161074;0.9731543624161074;0.9731543624161074;0.9731543624161074
25;6;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
25;7;1.0;1.0;1.0;1.0
25;8;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
25;9;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
25;10;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
26;1;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
26;2;1.0;1.0;1.0;1.0
26;3;1.0;1.0;1.0;1.0
26;4;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
26;5;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
26;6;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
26;7;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
26;8;0.9731543624161074;0.9731543624161074;0.9731543624161074;0.9731543624161074
26;9;0.9798657718120806;0.9798657718120806;0.9798657718120806;0.9798657718120806
26;10;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
28;1;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
28;2;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
28;3;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
28;4;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
28;5;0.9798657718120806;0.9798657718120806;0.9798657718120806;0.9798657718120806
28;6;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
28;7;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
28;8;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
28;9;0.9798657718120806;0.9798657718120806;0.9798657718120806;0.9798657718120806
28;10;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
29;1;1.0;1.0;1.0;1.0
29;2;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
29;3;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
29;4;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
29;5;1.0;1.0;1.0;1.0
29;6;0.9798657718120806;0.9798657718120806;0.9798657718120806;0.9798657718120806
29;7;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
29;8;0.9731543624161074;0.9731543624161074;0.9731543624161074;0.9731543624161074
29;9;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
29;10;1.0;1.0;1.0;1.0
31;1;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
31;2;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
31;3;1.0;1.0;1.0;1.0
31;4;1.0;1.0;1.0;1.0
31;5;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
31;6;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
31;7;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
31;8;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
31;9;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
31;10;1.0;1.0;1.0;1.0
37;1;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
37;2;1.0;1.0;1.0;1.0
37;3;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
37;4;1.0;1.0;1.0;1.0
37;5;1.0;1.0;1.0;1.0
37;6;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
37;7;1.0;1.0;1.0;1.0
37;8;1.0;1.0;1.0;1.0
37;9;1.0;1.0;1.0;1.0
37;10;1.0;1.0;1.0;1.0
43;1;0.9865771812080537;0.9865771812080537;0.9865771812080537;0.9865771812080537
43;2;0.9932885906040269;0.9932885906040269;0.9932885906040269;0.9932885906040269
43;3;1.0;1.0;1.0;1.0
43;4;1.0;1.0;1.0;1.0
43;5;1.0;1.0;1.0;1.0
43;6;0.9798657718120806;0.9798657718120806;0.9798657718120806;0.9798657718120806
